test_key,short,q,theta,n_min_tail,n_max
anova,ANOVA,3,0.8363636363636363,25902,10000000
anova,ANOVA,3,0.8522727272727272,25902,10000000
anova,ANOVA,3,0.8681818181818182,25902,10000000
anova,ANOVA,3,0.884090909090909,25902,10000000
anova,ANOVA,3,0.9,25902,10000000
ranova,rANOVA,3,0.0015854715773812,7247368,10000000
ranova,rANOVA,3,0.0019963546298206,4471474,10000000
ranova,rANOVA,3,0.0025137201226837,2758806,10000000
ranova,rANOVA,3,0.003165163523954,1702125,10000000
ranova,rANOVA,3,0.0039854318080063,1050176,10000000
ranova,rANOVA,3,0.005018276804993,647936,10000000
ranova,rANOVA,3,0.0063187888551852,399763,10000000
ranova,rANOVA,3,0.007956335241748,246646,10000000
ranova,rANOVA,3,0.0100182601333695,152175,10000000
ranova,rANOVA,3,0.0126145433859082,93889,10000000
ranova,rANOVA,3,0.0158836666962689,49315,10000000
ranova,rANOVA,3,0.02,41982,10000000
ranova,rANOVA,3,0.025,30426,10000000
ranova,rANOVA,3,0.0409090909090909,30426,10000000
ranova,rANOVA,3,0.0568181818181818,30426,10000000
ranova,rANOVA,3,0.0727272727272727,30426,10000000
ranova,rANOVA,3,0.0886363636363636,30426,10000000
ranova,rANOVA,3,0.1045454545454545,30426,10000000
ranova,rANOVA,3,0.1204545454545454,30426,10000000
ranova,rANOVA,3,0.1363636363636363,30426,10000000
ranova,rANOVA,3,0.1522727272727272,30426,10000000
ranova,rANOVA,3,0.1681818181818181,30426,10000000
ranova,rANOVA,3,0.184090909090909,30426,10000000
ranova,rANOVA,3,0.1999999999999999,30426,10000000
ranova,rANOVA,3,0.2159090909090908,30426,10000000
ranova,rANOVA,3,0.2318181818181817,30426,10000000
ranova,rANOVA,3,0.2477272727272727,30426,10000000
ranova,rANOVA,3,0.2636363636363636,30426,10000000
ranova,rANOVA,3,0.2795454545454545,30426,10000000
ranova,rANOVA,3,0.2954545454545454,30426,10000000
ranova,rANOVA,3,0.3113636363636363,30426,10000000
ranova,rANOVA,3,0.3272727272727272,30426,10000000
ranova,rANOVA,3,0.3431818181818181,30426,10000000
ranova,rANOVA,3,0.359090909090909,30426,10000000
ranova,rANOVA,3,0.375,30426,10000000
ranova,rANOVA,3,0.3909090909090909,30426,10000000
