"test_key","test","q","n","theta","null_valid_reps","alt_valid_reps","alpha_p","power_p","alpha_ejab","power_ejab","alpha_bic","power_bic","alpha_tsbf","power_tsbf","risk_p","risk_ejab","risk_bic","risk_tsbf","delta_p_minus_ejab","delta_bic_minus_ejab","delta_tsbf_minus_ejab"
"anova","One-way ANOVA",3,182,0.108333333333333,2000,400,0.0055,0.04,0.0285,0.1425,5e-04,0.0075,0.022,0.1225,0.48275,0.443,0.4965,0.44975,0.03975,0.0535,0.00674999999999998
"anova","One-way ANOVA",3,182,0.15,2000,400,0.0055,0.0875,0.0285,0.26,5e-04,0.025,0.0425,0.325,0.459,0.38425,0.48775,0.35875,0.07475,0.1035,-0.0255
"anova","One-way ANOVA",3,182,0.191666666666667,2000,400,0.0055,0.24,0.0285,0.4875,5e-04,0.0775,0.045,0.56,0.38275,0.2705,0.4615,0.2425,0.11225,0.191,-0.028
"anova","One-way ANOVA",3,182,0.233333333333333,2000,400,0.0055,0.43,0.0285,0.64,5e-04,0.21,0.043,0.7225,0.28775,0.19425,0.39525,0.16025,0.0935000000000001,0.201,-0.034
"anova","One-way ANOVA",3,182,0.275,2000,400,0.0055,0.685,0.0285,0.8675,5e-04,0.3975,0.036,0.8875,0.16025,0.0805,0.3015,0.07425,0.07975,0.221,-0.00624999999999992
"anova","One-way ANOVA",3,182,0.316666666666667,2000,400,0.0055,0.795,0.0285,0.945,5e-04,0.5675,0.029,0.9475,0.10525,0.04175,0.2165,0.04075,0.0635,0.17475,-0.00100000000000006
"anova","One-way ANOVA",3,182,0.358333333333333,2000,400,0.0055,0.8875,0.0285,0.9625,5e-04,0.765,0.024,0.9575,0.059,0.033,0.11775,0.03325,0.0260000000000001,0.08475,0.000250000000000028
"anova","One-way ANOVA",3,182,0.4,2000,400,0.0055,0.975,0.0285,0.995,5e-04,0.9,0.0165,0.9925,0.01525,0.01675,0.05025,0.012,-0.00149999999999995,0.0335,-0.00475000000000003
"anova","One-way ANOVA",3,182,0.441666666666667,2000,400,0.0055,0.995,0.0285,0.9975,5e-04,0.975,0.013,0.9975,0.00525000000000003,0.0155,0.01275,0.00774999999999992,-0.0102499999999999,-0.00274999999999997,-0.00775000000000003
"anova","One-way ANOVA",3,182,0.483333333333333,2000,400,0.0055,1,0.0285,1,5e-04,0.9975,0.011,1,0.00275000000000003,0.01425,0.00149999999999995,0.00549999999999995,-0.0115,-0.01275,-0.00875000000000004
"anova","One-way ANOVA",3,182,0.525,2000,400,0.0055,1,0.0285,1,5e-04,0.995,0.009,1,0.00275000000000003,0.01425,0.00274999999999997,0.00449999999999995,-0.0115,-0.0115,-0.00975000000000004
"anova","One-way ANOVA",3,182,0.566666666666667,2000,400,0.0055,1,0.0285,1,5e-04,1,0.0075,1,0.00275000000000003,0.01425,0.000249999999999972,0.00375000000000003,-0.0115,-0.014,-0.0105
"anova","One-way ANOVA",3,182,0.608333333333333,2000,400,0.0055,1,0.0285,1,5e-04,1,0.0065,1,0.00275000000000003,0.01425,0.000249999999999972,0.00324999999999998,-0.0115,-0.014,-0.011
"anova","One-way ANOVA",3,182,0.65,2000,400,0.0055,1,0.0285,1,5e-04,1,0.0055,1,0.00275000000000003,0.01425,0.000249999999999972,0.00275000000000003,-0.0115,-0.014,-0.0115
"anova","One-way ANOVA",3,182,0.691666666666667,2000,400,0.0055,1,0.0285,1,5e-04,1,0.0055,1,0.00275000000000003,0.01425,0.000249999999999972,0.00275000000000003,-0.0115,-0.014,-0.0115
"anova","One-way ANOVA",3,182,0.733333333333333,2000,400,0.0055,1,0.0285,1,5e-04,1,0.005,1,0.00275000000000003,0.01425,0.000249999999999972,0.00249999999999995,-0.0115,-0.014,-0.01175
