"rows","columns","table_label","table_plot_label","q","n","w","critical_tsbf_estimated_omega","alpha_p05","alpha_ejab","alpha_tsbf","alpha_tsbf_estimated_omega","power_p05","power_ejab","power_tsbf","power_tsbf_estimated_omega","beta_p05","beta_ejab","beta_tsbf","beta_tsbf_estimated_omega","risk_p05","risk_ejab","risk_tsbf","risk_tsbf_estimated_omega","delta_p05_minus_ejab","delta_tsbf_minus_ejab","delta_tsbf_estimated_omega_minus_ejab"
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.0100182601333695,2.39304125201973,0.05,0.0606880790874328,0.316704495022774,0.121876320119469,0.0503449796092963,0.061076070086445,0.317432694478225,0.122437862496221,0.949655020390704,0.938923929913555,0.682567305521775,0.877562137503779,0.499827510195352,0.499806004500494,0.499635900272274,0.499719228811624,2.15056948579262e-05,-0.000170104228219559,-8.6775688870333e-05
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.0126145433859082,2.39304125201973,0.05,0.0606880790874328,0.316350733088872,0.121876320119469,0.0505470227813425,0.0613032744532375,0.317504931875178,0.122766550093035,0.949452977218658,0.938696725546762,0.682495068124822,0.877233449906965,0.499726488609329,0.499692402317098,0.499422900606847,0.499554885013217,3.40862922311169e-05,-0.000269501710250641,-0.000137517303880841
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.015883666696269,2.39304125201973,0.05,0.0606880790874328,0.315791422509055,0.121876320119469,0.0508674582717944,0.061663570887304,0.317620513337675,0.123287554428906,0.949132541728206,0.938336429112696,0.682379486662325,0.876712445571094,0.499566270864103,0.499512254100064,0.49908545458569,0.499294382845281,5.40167640383782e-05,-0.000426799514374132,-0.000217871254783231
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.02,2.39304125201973,0.05,0.0606880790874328,0.314908573298968,0.121876320119469,0.0513757546992505,0.0622349867274124,0.317806378910471,0.124113288600045,0.948624245300749,0.937765013272588,0.682193621089529,0.875886711399955,0.499312122650375,0.49922654618001,0.498551097194248,0.498881515759712,8.55764703644457e-05,-0.000675448985761995,-0.000345030420298709
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.025,2.39304125201973,0.05,0.0606880790874328,0.313572925902304,0.121876320119469,0.052150622625516,0.0631058159869879,0.318095564191896,0.125370382884415,0.947849377374484,0.936894184013012,0.681904435808104,0.874629617115585,0.498924688687242,0.498791131550223,0.497738680855204,0.498252968617527,0.000133557137019458,-0.00105245069501847,-0.000538162932695652
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.0444444444444444,2.39304125201973,0.05,0.0606880790874328,0.305782437645793,0.121876320119469,0.0568157989677061,0.0683421656938907,0.319975873049643,0.132896329350006,0.943184201032294,0.931657834306109,0.680024126950357,0.867103670649994,0.496592100516147,0.496172956696771,0.492903282298075,0.494489995384731,0.000419143819375856,-0.00326967439869602,-0.00168296131203971
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.0638888888888889,2.39304125201973,0.05,0.0606880790874328,0.294351021318664,0.121876320119469,0.0641425448987238,0.0765437428040771,0.323345468265689,0.144572865959798,0.935857455101276,0.923456257195923,0.676654531734311,0.855427134040202,0.492928727550638,0.492072168141678,0.485502776526487,0.488651727079836,0.000856559408960178,-0.00656939161519071,-0.00342044106184242
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.0833333333333333,2.39304125201973,0.05,0.0606880790874328,0.280078837215256,0.121876320119469,0.0741888315230653,0.0877472113926065,0.328608456758081,0.160312396931435,0.925811168476935,0.912252788607394,0.671391543241919,0.839687603068565,0.487905584238467,0.486470433847413,0.475735190228588,0.480781961594017,0.00143515039105419,-0.0107352436188257,-0.00568847225339641
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.102777777777778,2.39304125201973,0.05,0.0606880790874328,0.263840764469098,0.121876320119469,0.0870222965034981,0.101991245508495,0.336094827717033,0.179989839154777,0.912977703496502,0.898008754491505,0.663905172282967,0.820010160845223,0.481488851748251,0.479348416789469,0.463872968376033,0.470943240482346,0.00214043495878202,-0.0154754484134362,-0.00840517630712317
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.122222222222222,2.39304125201973,0.05,0.0606880790874328,0.246475246108946,0.121876320119469,0.102710916830457,0.119307340836937,0.345984101971715,0.203438223354465,0.897289083169543,0.880692659163063,0.654015898028285,0.796561776645535,0.473644541584772,0.470690369125248,0.450245572068615,0.459219048382502,0.00295417245952384,-0.0204447970566324,-0.0114713207427463
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.141666666666667,2.39304125201973,0.05,0.0606880790874328,0.228708354103006,0.121876320119469,0.121312297675393,0.139709447312231,0.358288063138842,0.230444474920291,0.878687702324607,0.860290552687769,0.641711936861158,0.769555525079709,0.464343851162304,0.460489315887601,0.435210145482082,0.445715922599589,0.00385453527470253,-0.0252791704055192,-0.0147733932880124
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.161111111111111,2.39304125201973,0.05,0.0606880790874328,0.211116766335851,0.121876320119469,0.142862267011683,0.163183192803052,0.372879487762757,0.260746107234334,0.857137732988317,0.836816807196948,0.627120512237243,0.739253892765666,0.453568866494158,0.44875244314219,0.419118639286547,0.430565106442567,0.00481642335196808,-0.0296338038556434,-0.0181873366996231
