"test_key","test","q","n","theta","risk_p","risk_p05","risk_ejab","risk_bic","risk_tsbf","delta_p_minus_ejab","delta_p05_minus_ejab","delta_bic_minus_ejab","delta_tsbf_minus_ejab"
"anova","One-way ANOVA",3,30,0.763888888888889,0.177268469571138,0.0662388156089219,0.0946646859049475,NA,NA,0.0826037836661903,-0.0284258702960256,NA,NA
"anova","One-way ANOVA",3,30,0.783333333333333,0.161011786370655,0.0595431624633445,0.0926756813014821,NA,NA,0.0683361050691731,-0.0331325188381376,NA,NA
"anova","One-way ANOVA",3,30,0.802777777777778,0.145420223861434,0.0537114571393084,0.0910608853110699,NA,NA,0.0543593385503642,-0.0373494281717615,NA,NA
"anova","One-way ANOVA",3,30,0.822222222222222,0.130587486954457,0.0486783197602835,0.0897626127209922,NA,NA,0.040824874233465,-0.0410842929607087,NA,NA
"anova","One-way ANOVA",3,30,0.841666666666667,0.116590865613242,0.0443738743633199,0.0887289594380806,NA,NA,0.0278619061751611,-0.0443550850747607,NA,NA
"anova","One-way ANOVA",3,30,0.861111111111111,0.103490235747973,0.0407261170040548,0.0879139935913573,NA,NA,0.0155762421566158,-0.0471878765873026,NA,NA
"anova","One-way ANOVA",3,30,0.880555555555556,0.0913276607797743,0.037663020660882,0.0872777046863947,NA,NA,0.00404995609337966,-0.0496146840255127,NA,NA
"anova","One-way ANOVA",3,30,0.9,0.0801275840389472,0.0351143292252356,0.0867857606968597,NA,NA,-0.00665817665791252,-0.0516714314716241,NA,NA
"anova","One-way ANOVA",3,30,0.925,0.0671520924026205,0.0324859058622587,0.0863191972225172,NA,NA,-0.0191671048198968,-0.0538332913602586,NA,NA
"anova","One-way ANOVA",3,30,0.95,0.0557572207067223,0.0304657315256568,0.0859935044445767,NA,NA,-0.0302362837378544,-0.0555277729189199,NA,NA
"anova","One-way ANOVA",3,30,0.975,0.0458843906744218,0.0289364360175643,0.0857698100227385,NA,NA,-0.0398854193483166,-0.0568333740051742,NA,NA
"anova","One-way ANOVA",3,30,1,0.037444841484144,0.0277961924218139,0.0856186474659748,NA,NA,-0.0481738059818307,-0.0578224550441609,NA,NA
"anova","One-way ANOVA",3,30,1.025,0.0303271079827869,0.0269588498072204,0.0855181464103688,NA,NA,-0.0551910384275818,-0.0585592966031483,NA,NA
"anova","One-way ANOVA",3,30,1.05,0.0244045491763242,0.0263532245371286,0.0854524068094367,NA,NA,-0.0610478576331124,-0.059099182272308,NA,NA
"anova","One-way ANOVA",3,30,1.075,0.0195424586175765,0.02592180817497,0.0854101001422328,NA,NA,-0.0658676415246563,-0.0594882919672628,NA,NA
"anova","One-way ANOVA",3,30,1.1,0.0156043812219891,0.0256191315752976,0.0853833139389527,NA,NA,-0.0697789327169636,-0.059764182363655,NA,NA
"anova","One-way ANOVA",3,30,1.125,0.0124573948664721,0.0254099863020036,0.0853666287994956,NA,NA,-0.0729092339330235,-0.0599566424974919,NA,NA
"anova","One-way ANOVA",3,30,1.15,0.0099762194979679,0.025267654269465,0.0853564039427109,NA,NA,-0.075380184444743,-0.0600887496732458,NA,NA
"anova","One-way ANOVA",3,30,1.175,0.0080461420341969,0.0251722559792282,0.0853502393949687,NA,NA,-0.0773040973607718,-0.0601779834157405,NA,NA
"anova","One-way ANOVA",3,30,1.2,0.00656481765382338,0.0251092817274989,0.0853465830465977,NA,NA,-0.0787817653927743,-0.0602373013190988,NA,NA
"anova","One-way ANOVA",3,30,1.225,0.0054430909491342,0.0250683398730595,0.0853444495243291,NA,NA,-0.0799013585751949,-0.0602761096512696,NA,NA
"anova","One-way ANOVA",3,30,1.25,0.00460500283386284,0.0250421245944319,0.0853432247740506,NA,NA,-0.0807382219401878,-0.0603011001796187,NA,NA
"anova","One-way ANOVA",3,30,1.275,0.00398718312349433,0.0250255926465751,0.0853425331081661,NA,NA,-0.0813553499846718,-0.0603169404615911,NA,NA
